,公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,行政區,區域,品牌
0,22555003,統一超商股份有限公司,1846195,台北市第一七０分公司,臺北市士林區文林路一六九號一樓,1,臺北市,北,7-11
1,22555003,統一超商股份有限公司,16080140,台北巿第三四二分公司,臺北市松山區健康路224號１樓,1,臺北市,北,7-11
2,22555003,統一超商股份有限公司,16080161,台北縣第２５６分公司,新北市三峽區鳶山里十二鄰中山路１８６號１樓,1,新北市,北,7-11
3,22555003,統一超商股份有限公司,16080177,新竹市第２６分公司,新竹市民富里７鄰北大路３４２號,1,新竹市,北,7-11
4,22555003,統一超商股份有限公司,16080253,高雄巿第１５２分公司,高雄市小港區鳳源里鳳林路181、183號1樓,1,高雄市,南,7-11
5,22555003,統一超商股份有限公司,16080269,高雄巿第１５１分公司,高雄市前鎮區草衙里后安路１４６號１樓,1,高雄市,南,7-11
6,22555003,統一超商股份有限公司,16080275,桃園縣第４５分公司,桃園市蘆竹區南山路三段306、308號1樓,1,桃園市,北,7-11
7,22555003,統一超商股份有限公司,16080296,高雄巿第３５分公司,高雄市左營區新下里華夏路２５６號１樓,1,高雄市,南,7-11
8,22555003,統一超商股份有限公司,16080303,台南市第七十分公司,臺南市新化區協興里中山路624、626號1樓,1,臺南市,南,7-11
9,22555003,統一超商股份有限公司,16080319,宜蘭縣第6分公司,宜蘭縣羅東鎮南昌街53巷6-3號1樓,1,宜蘭縣,北,7-11
10,22555003,統一超商股份有限公司,16080325,台南市第九十分公司,臺南市新營區民治東路1號1樓,1,臺南市,南,7-11
11,22555003,統一超商股份有限公司,16080351,苗栗縣第１１分公司,苗栗縣頭份市忠孝里十二鄰信東路１５８號,1,苗栗縣,中,7-11
12,22555003,統一超商股份有限公司,16080423,台中巿第一一五分公司,臺中市西屯區西墩里黎明路3段348號1樓,1,臺中市,中,7-11
13,22555003,統一超商股份有限公司,16080438,屏東縣第２３分公司,屏東縣麟洛鄉中山路166、166-1、166-2號1樓,1,屏東縣,南,7-11
14,22555003,統一超商股份有限公司,16081133,台北縣第二五七分公司,新北市三重區光復路一段82號1樓,1,新北市,北,7-11
