區域,行政區,7月11日,OK,全家,萊爾富,總店家數,7-11 (%),OK (%),全家 (%),萊爾富 (%),綜合所得總額,綜合所得平均數,綜合所得變異係數,薪資所得,股利所得,失業率(107年),土地面積(平方公里),人口數(人),人口密度(人/平方公里),戶數(戶),戶量(人/戶),幼年人口(0-14歲),工作年齡人口(15-64歲),老年人口(65歲以上),人口性比例(女=100),公司登記新設家數,刑案發生率,竊盜案發生率,暴力犯罪發生率,營利事業營業家數,營利事業銷售額,公司登記現有家數,公司登記現有資本額,商業登記現有家數,商業登記現有資本額
北,基隆市,79,63,54,8,204,0.387254902,0.308823529,0.264705882,0.039215686,84127488,787,112.68,84.66,5.72,3.7,132.7589,368905,2778.76,154527,2.39,38176,270057,60672,99.68,293,1699.81,192.28,11.33,18390,177148330,5957,71912,11967,2688
北,宜蘭縣,98,20,53,13,184,0.532608696,0.108695652,0.288043478,0.070652174,85562802,757,104.51,80.8,7.14,3.8,2143.63,454226,211.9,170806,2.66,53661,325755,74810,101.92,381,1596.35,216.49,8.77,26989,287234605,6074,88414,24427,5012
北,新北市,970,145,751,298,2164,0.448243993,0.067005545,0.347042514,0.137707948,1042872366,900,196.34,79.73,9.58,3.7,2052.57,4016477,1956.81,1583110,2.54,486244,2955519,574714,95.58,7207,1091.35,203.72,3.38,223983,4962840383,134856,2262249,140598,25432
北,新竹市,130,10,75,57,272,0.477941176,0.036764706,0.275735294,0.209558824,169040127,1295,284.07,79.84,10.1,3.7,104.1526,448472,4305.91,168018,2.67,76699,315791,55982,97.26,772,995.3,218.1,0.9,26730,2329059841,11811,1083655,19572,3280
北,新竹縣,161,38,72,57,328,0.490853659,0.115853659,0.219512195,0.173780488,180476331,1155,145.91,84,7.13,3.7,1427.54,563368,394.64,200237,2.81,91362,401182,70824,104.26,953,1243.98,268.49,2.7,28462,1189814781,12736,565879,16890,3150
北,桃園市,612,121,270,239,1242,0.492753623,0.09742351,0.217391304,0.192431562,559791793,912,122.32,82.06,8.13,3.8,1220.95,2246893,1840.28,825088,2.72,334354,1642026,270513,98.54,3686,946,226.32,2.63,115585,3766578141,60087,1497002,54499,13369
北,臺北市,813,79,505,169,1566,0.519157088,0.050446999,0.32247765,0.107918263,1182609484,1333,781.17,66.88,19.24,3.7,271.7997,2645293,9732.51,1061088,2.49,355525,1813828,475940,91,11828,1580.99,223.18,4.86,232324,13219276916,179519,12474685,58004,11888
中,南投縣,98,18,46,11,173,0.566473988,0.104046243,0.265895954,0.063583815,78331894,739,142.37,79.7,8.31,3.7,4106.44,494352,120.38,179078,2.76,53123,353299,87930,104.7,273,1289.07,208.2,10.42,25378,286206237,5371,90349,28487,5535
中,彰化縣,201,39,72,39,351,0.572649573,0.111111111,0.205128205,0.111111111,242048058,783,495.8,73.78,14.82,3.6,1074.4,1272789,1184.66,392740,3.24,163000,907347,202442,103.57,1354,1092.69,170.22,3.28,71851,1444890717,27074,460578,36832,8085
中,臺中市,685,98,400,98,1281,0.534738486,0.076502732,0.31225605,0.076502732,657180560,884,260.48,73.83,13.42,3.7,2214.9,2814224,1270.59,986245,2.85,400872,2053366,359986,96.73,6689,912.04,158.76,2.65,192022,4259595905,98980,1717911,111511,20095
